|Episode 0	Average Score: -53.36, Network Updates: 3.00, Target Updates: 1.00|
|Episode 50	Average Score: -49.70, Network Updates: 40.00, Target Updates: 13.00|
|Episode 100	Average Score: -120.12, Network Updates: 125.00, Target Updates: 42.00|
|Episode 150	Average Score: 33.42, Network Updates: 33.00, Target Updates: 11.00|
|Episode 200	Average Score: 57.10, Network Updates: 19.00, Target Updates: 6.00|
|Episode 250	Average Score: -74.88, Network Updates: 125.00, Target Updates: 41.00|
|Episode 300	Average Score: 104.68, Network Updates: 58.00, Target Updates: 20.00|
|Episode 350	Average Score: -4.26, Network Updates: 125.00, Target Updates: 42.00|
|Episode 400	Average Score: -8.88, Network Updates: 117.00, Target Updates: 39.00|
|Episode 450	Average Score: -43.42, Network Updates: 125.00, Target Updates: 41.00|
|Episode 500	Average Score: 19.57, Network Updates: 125.00, Target Updates: 42.00|
|Episode 550	Average Score: 175.83, Network Updates: 40.00, Target Updates: 13.00|
|Episode 600	Average Score: 71.78, Network Updates: 14.00, Target Updates: 5.00|
|Episode 650	Average Score: 139.78, Network Updates: 54.00, Target Updates: 18.00|
|Episode 700	Average Score: 152.14, Network Updates: 49.00, Target Updates: 16.00|
|Episode 750	Average Score: 83.40, Network Updates: 40.00, Target Updates: 13.00|
|Episode 800	Average Score: 153.60, Network Updates: 76.00, Target Updates: 26.00|
|Episode 850	Average Score: 181.65, Network Updates: 27.00, Target Updates: 9.00|
|
Solution Reached in 852 episodes!	Average Score: 200.42|
