|Episode 0	Average Score: -8.24, Network Updates: 0.00, Target Updates: 0.00|
|Episode 50	Average Score: -17.14, Network Updates: 13.00, Target Updates: 5.00|
|Episode 100	Average Score: -32.31, Network Updates: 9.00, Target Updates: 3.00|
|Episode 150	Average Score: -63.49, Network Updates: 10.00, Target Updates: 4.00|
|Episode 200	Average Score: -20.67, Network Updates: 8.00, Target Updates: 3.00|
|Episode 250	Average Score: -69.90, Network Updates: 10.00, Target Updates: 4.00|
|Episode 300	Average Score: -37.82, Network Updates: 10.00, Target Updates: 3.00|
|Episode 350	Average Score: -56.17, Network Updates: 9.00, Target Updates: 3.00|
|Episode 400	Average Score: -35.07, Network Updates: 11.00, Target Updates: 3.00|
|Episode 450	Average Score: -38.65, Network Updates: 11.00, Target Updates: 4.00|
|Episode 500	Average Score: -36.26, Network Updates: 8.00, Target Updates: 3.00|
|Episode 550	Average Score: -90.65, Network Updates: 11.00, Target Updates: 3.00|
|Episode 600	Average Score: -15.36, Network Updates: 6.00, Target Updates: 2.00|
|Episode 650	Average Score: -58.20, Network Updates: 11.00, Target Updates: 4.00|
|Episode 700	Average Score: -41.52, Network Updates: 10.00, Target Updates: 4.00|
|Episode 750	Average Score: -27.28, Network Updates: 7.00, Target Updates: 2.00|
|Episode 800	Average Score: -53.13, Network Updates: 10.00, Target Updates: 3.00|
|Episode 850	Average Score: -21.64, Network Updates: 7.00, Target Updates: 2.00|
|Episode 900	Average Score: -71.08, Network Updates: 9.00, Target Updates: 3.00|
|Episode 950	Average Score: -58.17, Network Updates: 11.00, Target Updates: 4.00|
|Episode 1000	Average Score: -40.97, Network Updates: 10.00, Target Updates: 3.00|
|Episode 1050	Average Score: -38.30, Network Updates: 10.00, Target Updates: 4.00|
|Episode 1100	Average Score: -43.90, Network Updates: 10.00, Target Updates: 3.00|
|Episode 1150	Average Score: -46.65, Network Updates: 10.00, Target Updates: 3.00|
|Episode 1200	Average Score: -40.14, Network Updates: 8.00, Target Updates: 3.00|
|Episode 1250	Average Score: -30.09, Network Updates: 10.00, Target Updates: 3.00|
|Episode 1300	Average Score: -72.38, Network Updates: 11.00, Target Updates: 4.00|
|Episode 1350	Average Score: -36.47, Network Updates: 8.00, Target Updates: 3.00|
|Episode 1400	Average Score: -30.90, Network Updates: 12.00, Target Updates: 4.00|
|Episode 1450	Average Score: -32.58, Network Updates: 10.00, Target Updates: 3.00|
|Episode 1500	Average Score: -53.94, Network Updates: 9.00, Target Updates: 3.00|
|Episode 1550	Average Score: -38.63, Network Updates: 8.00, Target Updates: 3.00|
|Episode 1600	Average Score: -45.02, Network Updates: 9.00, Target Updates: 3.00|
|Episode 1650	Average Score: -34.53, Network Updates: 7.00, Target Updates: 2.00|
|Episode 1700	Average Score: -42.28, Network Updates: 8.00, Target Updates: 3.00|
|Episode 1750	Average Score: -31.68, Network Updates: 11.00, Target Updates: 4.00|
|Episode 1800	Average Score: -41.32, Network Updates: 10.00, Target Updates: 3.00|
|Episode 1850	Average Score: -51.61, Network Updates: 8.00, Target Updates: 3.00|
|Episode 1900	Average Score: -41.45, Network Updates: 9.00, Target Updates: 3.00|
|Episode 1950	Average Score: -47.47, Network Updates: 9.00, Target Updates: 3.00|
|Episode 2000	Average Score: -44.92, Network Updates: 8.00, Target Updates: 3.00|
|Episode 2050	Average Score: -38.58, Network Updates: 7.00, Target Updates: 2.00|
|Episode 2100	Average Score: -71.40, Network Updates: 12.00, Target Updates: 4.00|
|Episode 2150	Average Score: -24.86, Network Updates: 7.00, Target Updates: 2.00|
|Episode 2200	Average Score: -38.35, Network Updates: 9.00, Target Updates: 3.00|
|Episode 2250	Average Score: -21.53, Network Updates: 11.00, Target Updates: 3.00|
|Episode 2300	Average Score: -32.78, Network Updates: 8.00, Target Updates: 2.00|
|Episode 2350	Average Score: -20.64, Network Updates: 11.00, Target Updates: 4.00|
|Episode 2400	Average Score: -40.43, Network Updates: 9.00, Target Updates: 3.00|
|Episode 2450	Average Score: -17.37, Network Updates: 11.00, Target Updates: 4.00|
|Episode 2500	Average Score: -36.07, Network Updates: 9.00, Target Updates: 3.00|
