|Episode 0	Average Score: -33.50, Network Updates: 1.00, Target Updates: 1.00|
|Episode 50	Average Score: -27.51, Network Updates: 12.00, Target Updates: 4.00|
|Episode 100	Average Score: -115.96, Network Updates: 125.00, Target Updates: 42.00|
|Episode 150	Average Score: -97.42, Network Updates: 125.00, Target Updates: 42.00|
|Episode 200	Average Score: 10.79, Network Updates: 13.00, Target Updates: 4.00|
|Episode 250	Average Score: 92.84, Network Updates: 16.00, Target Updates: 5.00|
|Episode 300	Average Score: 3.89, Network Updates: 125.00, Target Updates: 41.00|
|Episode 350	Average Score: -22.28, Network Updates: 125.00, Target Updates: 42.00|
|Episode 400	Average Score: -27.83, Network Updates: 125.00, Target Updates: 42.00|
|Episode 450	Average Score: -31.78, Network Updates: 125.00, Target Updates: 42.00|
|Episode 500	Average Score: -12.13, Network Updates: 125.00, Target Updates: 42.00|
|Episode 550	Average Score: -12.58, Network Updates: 125.00, Target Updates: 41.00|
|Episode 600	Average Score: 20.97, Network Updates: 125.00, Target Updates: 42.00|
|Episode 650	Average Score: -18.91, Network Updates: 125.00, Target Updates: 41.00|
|Episode 700	Average Score: 16.87, Network Updates: 17.00, Target Updates: 5.00|
|Episode 750	Average Score: -2.10, Network Updates: 125.00, Target Updates: 42.00|
|Episode 800	Average Score: -86.99, Network Updates: 125.00, Target Updates: 42.00|
|Episode 850	Average Score: -21.48, Network Updates: 125.00, Target Updates: 42.00|
|Episode 900	Average Score: -78.82, Network Updates: 117.00, Target Updates: 39.00|
|Episode 950	Average Score: -14.33, Network Updates: 125.00, Target Updates: 42.00|
|Episode 1000	Average Score: -4.16, Network Updates: 125.00, Target Updates: 42.00|
|Episode 1050	Average Score: -49.01, Network Updates: 125.00, Target Updates: 42.00|
|Episode 1100	Average Score: -33.46, Network Updates: 125.00, Target Updates: 41.00|
|Episode 1150	Average Score: 30.14, Network Updates: 125.00, Target Updates: 42.00|
|Episode 1200	Average Score: 15.62, Network Updates: 125.00, Target Updates: 41.00|
|Episode 1250	Average Score: -2.65, Network Updates: 125.00, Target Updates: 42.00|
|Episode 1300	Average Score: -6.66, Network Updates: 117.00, Target Updates: 39.00|
|Episode 1350	Average Score: -31.77, Network Updates: 125.00, Target Updates: 42.00|
|Episode 1400	Average Score: -41.97, Network Updates: 125.00, Target Updates: 41.00|
|Episode 1450	Average Score: 5.57, Network Updates: 117.00, Target Updates: 39.00|
|Episode 1500	Average Score: 20.52, Network Updates: 125.00, Target Updates: 41.00|
|Episode 1550	Average Score: -27.49, Network Updates: 125.00, Target Updates: 42.00|
|Episode 1600	Average Score: 23.66, Network Updates: 125.00, Target Updates: 42.00|
|Episode 1650	Average Score: 28.41, Network Updates: 125.00, Target Updates: 42.00|
